S.No.,Protein Name,Prediction results,Predicted Scores
4,>WP_003399771.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.1197
5,>WP_003399775.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.0669
30,>WP_003400081.1 MULTISPECIES: hypothetical protein [Mycobacterium tuberculosis complex],Virulent,1.072
34,>WP_003400109.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.1092
50,>WP_003400297.1 MULTISPECIES: hypothetical protein [Mycobacterium tuberculosis complex],Virulent,1.0035
108,>WP_003400812.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.1306
113,>WP_003400850.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.0666
117,>WP_003400865.1 MULTISPECIES: hypothetical protein [Bacteria],Virulent,1.0268
135,>WP_003400989.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.1167
142,>WP_003401037.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.0292
290,>WP_003401960.1 MULTISPECIES: hypothetical protein [Mycobacterium tuberculosis complex],Virulent,1.1056
307,>WP_003402171.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.1569
337,>WP_003402327.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.0578
367,>WP_003402688.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.0094
384,>WP_003402851.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.0832
478,>WP_003403393.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.0407
480,>WP_003403408.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.0119
502,>WP_003403569.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.1696
503,>WP_003403573.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.1464
538,>WP_003403828.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.1537
568,>WP_003403998.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.0963
595,>WP_003404355.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.1067
600,>WP_003404379.1 MULTISPECIES: hypothetical protein [Mycobacterium tuberculosis complex],Virulent,1.0404
638,>WP_003404687.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.041
672,>WP_003404831.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.009
674,>WP_003404835.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.1568
697,>WP_003405160.1 MULTISPECIES: hypothetical protein [Mycobacterium],Virulent,1.1553
701,>WP_003405180.1 MULTISPECIES: hypothetical protein [Mycobacterium tuberculosis complex],Virulent,1.0376
