Accession No.,Known FunctionScore,Solubility Score,Stability Score,Localisation Score,Signal Peptide Score,Secretion Score,Transmembrane Score,Transmembrane Helices,Nature of Protein Score,Topology Score,Motif Score,PPI Score,PPI Score,Allegenicity Score,Antigenic Score ,Antigenic Score,Functional Characterisation,Functional Characterisation Score,Homology Score,Enzyme Score
>AFE11422.1,1,0,0,1,0,0,0,1,1,2,7,0.941,0,0,1,0.6948,Cellular process,1,1.00E-99,0
>AFE11451.1 ,2,1,1,1,0,0,0,0,1,2,7,0.94,0,0,0,0.3168,Cellular process,1,9.00E-71,0
>AFE11474.1 ,3,1,1,3,1,1,0,11,4,2,4,0.754,1,0,1,1.4661,Information and storage,2,0,0
>AFE11478.1 ,4,1,1,1,0,0,0,0,1,2,4,0.999,0,0,1,0.7375,Virulence factors,3,2.00E-46,0
>AFE11487.1 ,3,0,0,3,1,1,0,1,4,2,4,0.786,1,0,1,1.1902,Virulence factors,3,5.00E-43,0
>AFE11491.1 ,6,0,0,3,1,1,0,1,4,1,4,0.959,0,0,1,0.4399,Metabolism Molecule,4,0,0
>AFE11506.1 ,2,0,0,1,0,0,0,1,2,2,5,0.661,2,0,0,0.3887,Cellular process,1,2.00E-150,1
>AFE11517.1 ,3,0,0,1,1,1,0,0,4,1,4,0.869,1,1,1,0.5954,Cellular process,1,2.00E-150,1
>AFE11518.1 ,5,1,1,1,0,0,0,0,1,2,0,NA,3,1,1,0.7665,Metabolism Molecule,4,1.00E-39,0
>AFE11523.1,2,0,0,1,0,1,0,0,4,2,4,0.687,2,0,0,0.2842,Metabolism Molecule,4,1.00E-25,0
>AFE11525.1 ,3,0,0,1,0,1,0,0,4,1,3,0.82,1,0,1,0.5696,Virulence factors,3,5.00E-150,0
>AFE11535.1,8,1,1,4,0,0,0,1,2,2,2,0.996,0,0,1,0.5359,Cellular process,1,1.00E-135,0
>AFE11537.1 ,8,1,1,1,0,0,0,1,2,3,2,0.995,0,0,1,0.4159,Virulence factors,3,8.00E-64,0
>AFE11540.1 ,8,0,0,4,0,0,0,2,2,3,3,0.996,0,0,1,0.4461,Metabolism Molecule,4,0,0
