 ,Accession No.,Known Function,Physiochemical characterisation,,,,,,,,,,,,,,                                                                                                            Subcellular Localisation,,,,,,,,,,,,,,,,,,,,                                      Conserved Domain  and Function Assignment,,,,,,,,,,,,,,,,,,,,,,,,,Protein-Protein Interaction,,,,Allegenicity Assessment,,,,,,,,Antigenic Proteins,,,Functional characterisation,,,Homology Search,,,,Enzyme function,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEEPre(http://www.cbrc.kaust.edu.sa/DEEPre/),,,,,
,,,Amino acid number,Theorectical Isoelectric point(pI),Aliphatic Index(AI),Extinction coefficient,GRAVY(grand average of Hydropathy,Category,Instability Index,Molecular weight(MW),Total Number of positive  charged residues (Arg + Lys),Number of negatively charged residues (Asp + Glu),Score,Category,,,LocTree,Gpos-mPLoc,Gneg-mPLoc,PSORTb version 3.0.3,PSLpred,,,,SOSUIsignal (hamhttps://harrier.nagaa-i-bio.ac.jp/sosui/sosuisignal/sosuisignal_submit.html),,HMMTOP,Average of hydrophobicity,CCTOP,,,,,,HMMpTM (http://aias.biol.uoa.gr/HMMpTM/results.php),,CDD-BLAST/CDART,Accession,Score/ E-value,SMART,Score,INTERPROSCAN 66.0,Score,Molecular Function,GO Terms ,Frequency ,Biological Process,GO Terms,Frequency,Cellular Component,GO Terms,Frequency,SUPERFAMILY 1.75,E-value,CATH 4.2,Score,MOTIF ,Score,Scan Prosite,Score,,String 11.5,characteristics,Score,,AllerTOP v. 2.0,Unit Prot KB Acession No.,AllerCatPro ,,,,Score,,Vxijen v2.0,Score,,VICMpred(Predicted Functional class),Result/Score,,BLASTp (criteria :Identity <90%),Accession No.,Score,,Sub Sub-class,sub-class,Class,ECPred(https://ecpred.kansil.org/),Enzyme prediction (EzyPred),Consensus score(Enzyme)
,,,,,,,,,,,,,,,,,,,,,,Score,Category,,Category,Category,Transmembrane Helices,,,PreDiSi,DeepSig ,SignalP-6.0,Consensus (Signal Peptide),Consensus(secretion),"Topology(Glycosylation prediction, Phosphorylation Prediction)",,Prediction ,,,Prediction ,,Prediction,,,,,,,,,,,,,,,,,,,,,,,,,, Protein allergen, Species,Functionality (SUPFAM),UniProt/NCBI,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,>WP_003399735.1 ,superoxide dismutase,207,5.96,85.94,54430,-0.206,Hydrophilic,18.66,23033.93,16,22,1,Stable,,,secreted,Extracell,Cell inner membrane. Cytoplasm,Extracellular,Cytoplasmic Protein,1,Cytoplasm,,no signal peptide,Soluble Protein,0,-0.205797,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,Glycosylation prediction,,"Superoxide dismutase [Inorganic ion transport and metabolism];
",	COG0605,2.25E-96,N/A,N/A,Manganese/iron superoxide dismutase ,IPR001189,"metal ion binding 
superoxide dismutase activity ","GO:0046872,GO:0004784",1,superoxide metabolic process,GO:0006801,1,No result ,No,0,"        Fe,Mn superoxide dismutase (SOD), C-terminal domain        ,        Fe,Mn superoxide dismutase (SOD), C-terminal domain        ,        Fe,Mn superoxide dismutase (SOD), N-terminal domain        ,        Fe,Mn superoxide dismutase (SOD), N-terminal domain        ","1.17e-63,0.0000312,4.18e-47
,0.00019
","Superoxide dismutase [Mn], mitochondrial (3.55.40.20/FF/3)	",1.20E-33," Iron/manganese superoxide dismutases, C-terminal domain",4.40E-33, Manganese and iron superoxide dismutases signature,N/A,,"sodC, katG","
Databases
Textmining",0.993,,PROBABLE NON-ALLERGEN,O94812,Phl p Fe/Mn-SOD,Phleum pratense,"Fe,Mn superoxide dismutase (SOD), N-terminal domain (SSF46609); Fe,Mn superoxide dismutase (SOD), C-terminal domain (SSF54719)",K6ZYL0,1/1 (100.0%),,Probable ANTIGEN ,0.6258,,cellular Process,2.3766022,,    superoxide dismutase [FE] SODA [Mycobacterium tuberculosis],	CKM64871.1,3.00E-149,,Acting on superoxide as acceptor,	Acting on superoxide as acceptor,Oxidoreductases,1.15.1.1	1.0,"Enzyme protein
	1.-.-.- Oxidoreductases
	1.15.-.- Acting on superoxide as acceptor
",ENZYME
2,>WP_003399759.1 , type VII secretion system ESX-1 transcriptional regulator EspR,132,8.82,76.36,12950,-0.427,Hydrophilic,37.92,14708.67,18,16,1,Stable,,,cytoplasm,Extracell,Cell inner membrane. ,Cytoplasmic,Extracellular Protein,1,Cytoplasm,,no signal peptide,Soluble Protein,0,-0.426515,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,Phosphorylation prediction,,"Fimbrial protein;","cl01416	
",3.02E-03,N/A,N/A,None Predicted,0,DNA binding ,GO:0003677,1,N/A,N/A,0,No result ,No,0,"lambda repressor-like DNA-binding domains	,SinR domain-like	","0.000414,0.054",Secretion protein EspR (1.10.260.40/FF/28)	,3.30E-59,Helix-turn-helix,0.00047,NO HIT,0,,espA,"
Textmining
",0.865,,PROBABLE NON-ALLERGEN,A4KAG7,No result,no result,no result,no result,0,,Probable ANTIGEN ,0.5119,,cellular Process	,0.91235205,,hypothetical protein CCDC5079_3579 [Mycobacterium tuberculosis CCDC5079],	AEJ48768.1,5.00E-93,,Hydro-lyases,        Carbon-Oxygen Lyases,Lyases,3.1.-.-	0.69,NOT Enzyme,NOT ENZYME
3,>WP_003399779.1 ,histone-like protein Hns ,134,10.59,79.03,N/A,-0.535,Hydrophilic,67.93,13823.06,24,10,0,Unstable,,,periplasm,Extracell,Cell inner membrane,Unknown,Extracellular Protein,1,Extracellular,,no signal peptide,Membrane Protein,0,-0.535074,Prediction,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,Phosphorylation prediction,,N/A,N/A,0,low complexity	,N/A,None Predicted,0,N/A,N/A,0,N/A,N/A,0,No result ,No,0,"PDB	,SCOP hierarchy in SUPERFAMILY	","1.16e-02
,0.0061",N/A,0,Histone H1-like nucleoprotein HC2,0.0055,NO HIT,0,,"Rv2706c	",Textmining,0.907,,PROBABLE NON-ALLERGEN,Q06I91,no result,no result,no result,no result,0,,Probable ANTIGEN,0.6799,,cellular Process,1.94061,,      histone-like protein hns [Mycobacterium tuberculosis KZN 1435],ACT27010.1,4.00E-82,,Hydro-lyases,        Carbon-Oxygen Lyases,Lyases,non Enzyme,NOT Enzyme,NOT ENZYME
4,>WP_003399870.1 ,type VII secretion system ESX-1 target PE35,98,4.20,83.88,1490,0.030,Hydrophobic,18.34,9798.67,3,12,1,Stable,,,secreted	,Extracell,Cell outer membrane. Fimbrium.,Unknown,Cytoplasmic Protein,0,Cytoplasm,,signal peptide,unknown,0,0.029592,No transmembrane,No Secretion (No Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,Glycosylation prediction,,"PE family; This family named after a PE motif near to the amino terminus of the domain. The PE ...
","pfam00934	
",6.52E-05,N/A,N/A,None Predicted,0,N/A,N/A,0,N/A,N/A,0,No result ,No,0,"PE/PPE dimer-like	,PE	","0.00000233
,0.021",PE family immunomodulator PE35 (1.10.287.850/FF/5)	,2.40E-55, PE family,5.80E-12,NO HIT,0,,PPE68,"Neighborhood
Experiments
Textmining
",0.996,,PROBABLE NON-ALLERGEN,P93407,no result,no result,no result,no result,0,,Probable ANTIGEN ,0.596,,cellular Process	,1.0170204,,      hypothetical protein MT3986 [Mycobacterium tuberculosis CDC1551],AAK48354.1,2.00E-61,,Nucleotidyltransferases,        Transferring Phosphorus-Containing Groups,Transferases,non Enzyme,NOT Enzyme,NOT ENZYME
5,>WP_003399879.1 ,type VII secretion system ESX-1 target PPE68,368,4.25,75.6,42970,-0.040,Hydrophilic,44.62,37329.97,12,32,0,Unstable,,,periplasm,Cytoplasm. Extracell.,Cell inner membrane.,CytoplasmicMembrane,"Periplasmic Protein
",1,Cytoplasm,,signal peptide,unknown,1,-0.040218,No transmembrane,Secretion (Signal Peptide),No signal peptide,No signal peptide,No Signal Peptide,No Secretory Protein ,"Phosphorylation prediction,Glycosylation prediction",,"PPE family; This family named after a PPE motif near to the amino terminus of the domain. The ...
","pfam00823	
",4.44E-42,low complexity	,N/A,None Predicted,0,N/A,N/A,0,N/A,N/A,0,No result ,No,0,"PE/PPE dimer-like        ,PPE","4.97e-53,0.00038",PPE family protein PPE41 (1.20.1260.20/FF/1)	,2.00E-42,PPE family,1.10E-50,NO HIT,0,,PE35,"Neighborhood
Experiments
Textmining",0.996,,PROBABLE NON-ALLERGEN,O60641,no result,no result,no result,no result,0,,Probable ANTIGEN,0.6612,,Virulence factors	,2.268435,,type VII secretion system ESX-1 target PPE68 [Mycobacterium tuberculosis],	WP_031669518.1,0,,Nucleotidyltransferases,        Transferring Phosphorus-Containing Groups,Transferases,non Enzyme,NOT Enzyme,NOT ENZYME
